id,title_original,english_title,hungarian_title,video_url,source_equipment_types,inferred_equipment_types,canonical_equipment_types,primary_pattern,secondary_pattern,body_region,impact_level,complexity_level,intensity_estimate,position_type,unilateral_flag,beginner_friendly,session_role_fit,contraindications,home_safe,requires_large_space,requires_partner,requires_gym_setup,advanced_risk,qa_flags,validation_errors,taxonomy_status
29,Zottman curl - Zottman karhajlítás,Zottman curl,Zottman karhajlítás,https://vimeo.com/649970464,dumbbell,,dumbbell,pull,,upper_body,low,basic,medium,standing,no,yes,accessory|main,,yes,no,no,no,no,,,validated
30,Zombie sit up - Zombi felülés,Zombie sit up,Zombi felülés,https://vimeo.com/649970438,bodyweight,,bodyweight,core,,core,low,basic,low,floor,no,yes,accessory|activation,,yes,no,no,no,no,,,validated
31,Wide grip Pin press - Pin nyomás széles fogással,Wide grip Pin press,Pin nyomás széles fogással,https://vimeo.com/649970387,barbell,,barbell,push,,upper_body,low,basic,medium,standing,no,yes,main,wrist_shoulder_caution,no,no,no,yes,no,gym_setup_required|excluded_from_home_safe_pool,,validated
32,"Wide grip barbell floor press - Fekvenyomás talajon, széles fogással rúddal",Wide grip barbell floor press,"Fekvenyomás talajon, széles fogással rúddal",https://vimeo.com/649970338,barbell,barbell,barbell,push,,upper_body,low,basic,medium,mixed,no,yes,main,wrist_shoulder_caution,no,no,no,yes,no,equipment_inferred:barbell|gym_setup_required|excluded_from_home_safe_pool,,validated
33,Wide grip barbell bench press - Fekvenyomás széles fogással rúddal,Wide grip barbell bench press,Fekvenyomás széles fogással rúddal,https://vimeo.com/649970304,barbell|bench_or_box,barbell|bench_or_box,barbell|bench_or_box,push,,upper_body,low,basic,medium,standing,no,yes,main,wrist_shoulder_caution,no,no,no,yes,no,equipment_inferred:barbell|bench_or_box|gym_setup_required|excluded_from_home_safe_pool,,validated
34,Weighted vest rope climb (seated start) - Kötélmászás súlymellénnyel ülésből,Weighted vest rope climb (seated start),Kötélmászás súlymellénnyel ülésből,https://vimeo.com/649970274,rope|weighted_vest,rope|weighted_vest,rope|weighted_vest,mixed_other,,full_body,low,complex,high,floor,no,no,main,,no,no,no,yes,yes,equipment_inferred:rope|weighted_vest|gym_setup_required|excluded_from_home_safe_pool,,validated
35,Weighted vest legless rope climb - Kötélmászás súlymellénnyel láb nélkül,Weighted vest legless rope climb,Kötélmászás súlymellénnyel láb nélkül,https://vimeo.com/649970251,rope|weighted_vest,rope|weighted_vest,rope|weighted_vest,mixed_other,,full_body,low,complex,high,standing,no,no,main,,no,no,no,yes,yes,equipment_inferred:rope|weighted_vest|gym_setup_required|excluded_from_home_safe_pool,,validated
36,Weighted ring chin up with sandbag - Húzodzkodás gyűrűn homokzsákkal,Weighted ring chin up with sandbag,Húzodzkodás gyűrűn homokzsákkal,https://vimeo.com/649970201,sandbag|ring,ring|sandbag,ring|sandbag,pull,,upper_body,low,complex,high,standing,no,no,main,,no,no,no,yes,yes,equipment_inferred:ring|sandbag|canonical_equipment_differs_from_source|gym_setup_required|fixed_anchor_or_bar_required|excluded_from_home_safe_pool,,validated
37,Weighted ring chin up with plate - Húzodzkodás gyűrűn tárcsával,Weighted ring chin up with plate,Húzodzkodás gyűrűn tárcsával,https://vimeo.com/649970175,ring,other|ring,other|ring,pull,,upper_body,low,complex,high,standing,no,no,main,,no,no,no,yes,yes,equipment_inferred:other|ring|canonical_equipment_differs_from_source|gym_setup_required|fixed_anchor_or_bar_required|excluded_from_home_safe_pool,,validated
38,Weighted ring chin up with kettlebell - Húzodzkodás gyűrűn kettlebellel,Weighted ring chin up with kettlebell,Húzodzkodás gyűrűn kettlebellel,https://vimeo.com/649970129,kettlebell|ring,kettlebell|ring,kettlebell|ring,pull,,upper_body,low,complex,high,standing,no,no,main,,no,no,no,yes,yes,equipment_inferred:kettlebell|ring|gym_setup_required|fixed_anchor_or_bar_required|excluded_from_home_safe_pool,,validated
